date,hospitalized
1/2/20,2
1/3/20,1
1/4/20,0
1/5/20,2
1/6/20,2
1/7/20,1
1/8/20,2
1/9/20,1
1/10/20,1
1/11/20,1
1/12/20,1
1/13/20,1
1/14/20,1
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,1
1/21/20,1
1/22/20,1
1/23/20,1
1/24/20,1
1/25/20,1
1/26/20,1
1/27/20,1
1/28/20,1
1/29/20,1
1/30/20,1
1/31/20,1
2/1/20,1
2/2/20,1
2/3/20,1
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,1
2/18/20,1
2/19/20,1
2/20/20,1
2/21/20,1
2/22/20,1
2/23/20,1
2/24/20,1
2/25/20,1
2/26/20,1
2/27/20,1
2/28/20,1
2/29/20,1
3/1/20,1
3/2/20,1
3/3/20,2
3/4/20,2
3/5/20,3
3/6/20,4
3/7/20,5
3/8/20,5
3/9/20,6
3/10/20,6
3/11/20,7
3/12/20,8
3/13/20,9
3/14/20,11
3/15/20,14
3/16/20,17
3/17/20,21
3/18/20,28
3/19/20,35
3/20/20,43
3/21/20,52
3/22/20,64
3/23/20,81
3/24/20,99
3/25/20,117
3/26/20,137
3/27/20,160
3/28/20,178
3/29/20,192
3/30/20,207
3/31/20,218
4/1/20,229
4/2/20,235
4/3/20,237
4/4/20,240
4/5/20,238
4/6/20,240
4/7/20,246
4/8/20,244
4/9/20,240
4/10/20,237
4/11/20,232
4/12/20,233
4/13/20,225
4/14/20,216
4/15/20,211
4/16/20,208
4/17/20,208
4/18/20,208
4/19/20,209
4/20/20,211
4/21/20,209
4/22/20,206
4/23/20,206
4/24/20,209
4/25/20,203
4/26/20,196
4/27/20,193
4/28/20,198
4/29/20,202
4/30/20,199
5/1/20,191
5/2/20,197
5/3/20,201
5/4/20,196
5/5/20,191
5/6/20,186
5/7/20,182
5/8/20,175
5/9/20,164
5/10/20,158
5/11/20,157
5/12/20,152
5/13/20,151
5/14/20,150
5/15/20,155
5/16/20,153
5/17/20,151
5/18/20,148
5/19/20,144
5/20/20,137
5/21/20,134
5/22/20,129
5/23/20,130
5/24/20,131
5/25/20,126
5/26/20,120
5/27/20,118
5/28/20,112
5/29/20,108
5/30/20,100
5/31/20,90
6/1/20,85
6/2/20,81
6/3/20,76
6/4/20,69
6/5/20,66
6/6/20,64
6/7/20,63
6/8/20,59
6/9/20,54
6/10/20,50
6/11/20,48
6/12/20,44
6/13/20,41